id,tipo,titulo,diretor,elenco,pais,adicionado_em,ano_lancamento,classificacao,genero,data_lancamento,duracao_em_min,temporadas,estacao
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,"Richard Johnson, Kirsten Johnson, Isla Sierck, Jed Sierck, Felix Torres",US,2021-09-25,2020,12,Documentaries,2020-01-23,90.0,,Verão
s2,TV Show,Blood & Water,Não Informado,"Ama Qamata, Khosi Ngema, Gail Mabalane, Dillon Windvogel, Thabang Kamogelo Molaba",ZA,2021-09-24,2021,18,"International TV Shows, TV Dramas, TV Mysteries",2020-05-20,,2.0,Outono
s3,TV Show,Ganglands,Não Informado,"Sami Bouajila, Tracy Gotoas, Salim Kéchiouche, Samuel Jouy, Aron Kto",FR,2021-09-24,2021,18,"Crime TV Shows, International TV Shows, TV Action & Adventure",2021-09-24,,1.0,Primavera
s4,TV Show,Jailbirds New Orleans,Não Informado,Não Informado,US,2021-09-24,2021,18,"Docuseries, Reality TV",2021-09-24,,1.0,Primavera
s5,TV Show,Kota Factory,Não Informado,"Jitendra Kumar, Mayur More, Ranjan Raj, Alam Khan, Ahsaas Channa",IN,2021-09-24,2021,18,"International TV Shows, Romantic TV Shows, TV Comedies",2019-04-16,,2.0,Outono
s6,TV Show,Midnight Mass,Não Informado,"Hamish Linklater, Zach Gilford, Kate Siegel, Henry Thomas, Kristin Lehman",US,2021-09-24,2021,18,"TV Dramas, TV Horror, TV Mysteries",2021-09-24,,1.0,Primavera
s7,Movie,My Little Pony: A New Generation,José Luis Ucha,"Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy","CA, IE",2021-09-24,2021,10,Children & Family Movies,2021-09-22,91.0,,Primavera
s8,Movie,Sankofa,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka","BF, ET, DE, GH, GB, US",2021-09-24,1993,18,"Dramas, Independent Movies, International Movies",1993-05-28,125.0,,Outono
s9,TV Show,The Great British Baking Show,Não Informado,Não Informado,Não Informado,2021-09-24,2021,14,"British TV Shows, Reality TV",,,9.0,Não informado
s10,Movie,The Starling,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs","CA, US",2021-09-24,2021,12,"Comedies, Dramas",2021-09-17,104.0,,Primavera
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",Não Informado,"Silvana Saguto, Pino Maniaci","IT, GB",2021-09-24,2021,18,"Crime TV Shows, Docuseries, International TV Shows",2021-09-24,,1.0,Primavera
s12,TV Show,Bangkok Breaking,Não Informado,"Sukollawat Kanarot, Sushar Manaying, Sahajak Boonthanakit, Pavarit Mongkolpisit, Suda Chuenban",TH,2021-09-23,2021,18,"Crime TV Shows, International TV Shows, TV Action & Adventure",2021-09-23,,1.0,Primavera
s13,Movie,Je Suis Karl,Christian Schwochow,"Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová","CZ, DE",2021-09-23,2021,18,"Dramas, International Movies",2021-09-16,127.0,,Primavera
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,"Klara Castanho, Gabriel Lima, Júlia Gomes, Marcus Bessa, Lucca Picon",BR,2021-09-22,2021,10,"Children & Family Movies, Comedies",2021-09-22,91.0,,Primavera
s15,TV Show,Crime Stories: India Detectives,Não Informado,Não Informado,GB,2021-09-22,2021,18,"British TV Shows, Crime TV Shows, Docuseries",2021-09-22,,1.0,Primavera
s16,TV Show,Dear White People,Não Informado,Não Informado,Não Informado,2021-09-22,2021,18,"TV Comedies, TV Dramas",,,4.0,Não informado
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Pedro de Echave,"Paloma Navarro, Luis María Pardo, José Luis Blanco Corredoira, Ralph P. Ganis, Almudena Grandes",ES,2021-09-22,2020,18,"Documentaries, International Movies",2020-01-29,67.0,,Verão
s18,TV Show,Falsa identidad,Não Informado,"Luis Ernesto Franco, Camila Sodi, Dulce María, Samadhi Zendejas, Eduardo Yáñez","MX, US",2021-09-22,2020,18,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",2018-10-03,,2.0,Primavera
s19,Movie,Intrusion,Adam Salky,"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich",US,2021-09-22,2021,14,Thrillers,2021-09-22,94.0,,Primavera
s20,TV Show,Jaguar,Não Informado,"Blanca Suárez, Iván Marcos, Francesc Garrido, Adrián Lastra, Óscar Casas",ES,2021-09-22,2021,18,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",2021-09-22,,1.0,Primavera
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Não Informado,"Kathy Preston, Jim Morrison, George Harding, Jim Murray, Sheila Porter",US,2021-09-22,2021,14,"Crime TV Shows, Docuseries, International TV Shows",2021-09-22,,1.0,Primavera
s22,TV Show,Resurrection: Ertugrul,Não Informado,Não Informado,Não Informado,2021-09-22,2018,14,"International TV Shows, TV Action & Adventure, TV Dramas",,,5.0,Não informado
s23,Movie,Avvai Shanmughi,Não Informado,Não Informado,Não Informado,2021-09-21,1996,10,"Comedies, International Movies",,161.0,,Não informado
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,Alex Woo,"Maisie Benson, Paul Killam, Kerry Gudjohnsen, Emma Berman, John Crosthwaite",US,2021-09-21,2021,Livre,Children & Family Movies,2021-09-21,61.0,,Primavera
s25,Movie,Jeans,Nicolette Krebitz,"Nicolette Krebitz, Oskar Melzer, Marc Hosemann, Angie Ojciec, Mavie Hörbiger",DE,2021-09-21,1998,14,"Comedies, International Movies, Romantic Movies",2001-06-24,166.0,,Inverno
s26,TV Show,Love on the Spectrum,Não Informado,Não Informado,US,2021-09-21,2021,14,"Docuseries, International TV Shows, Reality TV",2022-05-18,,2.0,Outono
s27,Movie,Minsara Kanavu,Rajiv Menon,"Arvind Swamy, Prabhu Deva, Kajol, Arundathi Nag, Nassar",IN,2021-09-21,1997,10,"Comedies, International Movies, Music & Musicals",1997-01-14,147.0,,Verão
s28,Movie,Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider",US,2021-09-20,2010,12,Comedies,2010-06-24,103.0,,Inverno
s29,Movie,Dark Skies,Scott Stewart,"Keri Russell, Josh Hamilton, Dakota Goyo, J.K. Simmons, Trevor St. John",US,2021-09-19,2013,12,"Horror Movies, Sci-Fi & Fantasy",2013-02-21,97.0,,Verão
s30,Movie,Paranoia,Robert Luketic,"Liam Hemsworth, Harrison Ford, Gary Oldman, Amber Heard, Josh Holloway","IN, US",2021-09-19,2013,12,Thrillers,2013-08-14,106.0,,Inverno
s31,Movie,Ankahi Kahaniya,Abhishek Chaubey,"Kunal Kapoor, Zoya Hussain, Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale",IN,2021-09-17,2021,14,"Dramas, Independent Movies, International Movies",2021-09-17,111.0,,Primavera
s32,TV Show,Chicago Party Aunt,Não Informado,"Lauren Ash, Rory O'Malley, RuPaul, Jill Talley, Ike Barinholtz",US,2021-09-17,2021,18,TV Comedies,2021-09-17,,1.0,Primavera
s33,TV Show,Sex Education,Não Informado,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Kedar Williams-Stirling",GB,2021-09-17,2020,18,"British TV Shows, International TV Shows, TV Comedies",2019-01-11,,3.0,Verão
s34,TV Show,Squid Game,Não Informado,"Lee Jung-jae, Yim Si-wan, Wi Ha-jun, Jo Yu-ri, Lee Byung-hun",KR,2021-09-17,2021,18,"International TV Shows, TV Dramas, TV Thrillers",2021-09-17,,1.0,Primavera
s35,TV Show,Tayo and Little Wizards,Não Informado,"Dami Lee, Bommie Han, Jason Lee, Nancy Kim, Catherine Bommie Han",KR,2021-09-17,2020,10,Kids' TV,2020-12-10,,1.0,Verão
s36,Movie,The Father Who Moves Mountains,Daniel Sandu,"Adrian Titieni, Elena Purea, Valeriu Andriuță, Judith State, Virgil Aioanei","RO, SE",2021-09-17,2021,18,"Dramas, International Movies, Thrillers",2021-07-23,110.0,,Inverno
s37,Movie,The Stronghold,Cédric Jimenez,"Gilles Lellouche, François Civil, Karim Leklou, Adèle Exarchopoulos, Cyril Lecomte",FR,2021-09-17,2021,18,"Action & Adventure, Dramas, International Movies",2021-08-18,105.0,,Inverno
s38,TV Show,Angry Birds,Não Informado,Não Informado,FI,2021-09-16,2018,10,"Kids' TV, TV Comedies",2017-03-10,,1.0,Outono
s39,Movie,Birth of the Dragon,George Nolfi,"Philip Ng Wan-Lung, Billy Magnussen, Xia Yu, Ron Yuan, Darren E. Scott","CN, US",2021-09-16,2017,12,"Action & Adventure, Dramas",2017-08-25,96.0,,Inverno
s40,TV Show,Chhota Bheem,Não Informado,Não Informado,Não Informado,2021-09-16,2021,10,Kids' TV,,,3.0,Não informado
s41,TV Show,He-Man and the Masters of the Universe,Não Informado,Yuri Lowenthal,US,2021-09-16,2021,10,"Kids' TV, TV Sci-Fi & Fantasy",2021-09-16,,1.0,Primavera
