country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Brazil,BR,2026-03-08,Films,1,War Machine,,1
Brazil,BR,2026-03-08,Films,2,Hierarchy,,2
Brazil,BR,2026-03-08,Films,3,#SalveRosa,,2
Brazil,BR,2026-03-08,Films,4,The Karate Kid,,1
Brazil,BR,2026-03-08,Films,5,Accused,,2
Brazil,BR,2026-03-08,Films,6,O Agente Secreto,,1
Brazil,BR,2026-03-08,Films,7,Firebreak,,3
Brazil,BR,2026-03-08,Films,8,Cloudy with a Chance of Meatballs,,1
Brazil,BR,2026-03-08,Films,9,The Angry Birds Movie,,1
Brazil,BR,2026-03-08,Films,10,The Boss Baby,,2
Brazil,BR,2026-03-01,Films,1,#SalveRosa,,1
Brazil,BR,2026-03-01,Films,2,Firebreak,,2
Brazil,BR,2026-03-01,Films,3,Hierarchy,,1
Brazil,BR,2026-03-01,Films,4,The Orphans,,2
Brazil,BR,2026-03-01,Films,5,The World Will Tremble,,2
Brazil,BR,2026-03-01,Films,6,Accused,,1
Brazil,BR,2026-03-01,Films,7,The Addams Family,,2
Brazil,BR,2026-03-01,Films,8,Catwoman,,1
Brazil,BR,2026-03-01,Films,9,The Addams Family 2,,2
Brazil,BR,2026-03-01,Films,10,Acts of Violence,,1
Brazil,BR,2026-02-22,Films,1,The Orphans,,1
Brazil,BR,2026-02-22,Films,2,State of Fear,,2
Brazil,BR,2026-02-22,Films,3,Wrath of the Titans,,1
Brazil,BR,2026-02-22,Films,4,A Father's Miracle,,2
Brazil,BR,2026-02-22,Films,5,Prometheus,,1
Brazil,BR,2026-02-22,Films,6,The Addams Family 2,,1
Brazil,BR,2026-02-22,Films,7,Firebreak,,1
Brazil,BR,2026-02-22,Films,8,The World Will Tremble,,1
Brazil,BR,2026-02-22,Films,9,The Addams Family,,1
Brazil,BR,2026-02-22,Films,10,Cradle 2 the Grave,,2
Brazil,BR,2026-02-15,Films,1,State of Fear,,1
Brazil,BR,2026-02-15,Films,2,A Father's Miracle,,1
Brazil,BR,2026-02-15,Films,3,Twisters,,1
Brazil,BR,2026-02-15,Films,4,Cradle 2 the Grave,,1
Brazil,BR,2026-02-15,Films,5,Noah,,4
Brazil,BR,2026-02-15,Films,6,The Adventures of Sharkboy and Lavagirl,,2
Brazil,BR,2026-02-15,Films,7,Norbit,,2
Brazil,BR,2026-02-15,Films,8,Yoh! Bestie,,1
Brazil,BR,2026-02-15,Films,9,Joe’s College Road Trip,,1
Brazil,BR,2026-02-15,Films,10,Even If This Love Disappears Tonight,,2
Brazil,BR,2026-02-08,Films,1,In the Land of Saints and Sinners,,2
Brazil,BR,2026-02-08,Films,2,The Adventures of Sharkboy and Lavagirl,,1
Brazil,BR,2026-02-08,Films,3,Even If This Love Disappears Tonight,,1
Brazil,BR,2026-02-08,Films,4,The Bricklayer,,2
Brazil,BR,2026-02-08,Films,5,A Royal Winter,,1
Brazil,BR,2026-02-08,Films,6,Madagascar,,3
Brazil,BR,2026-02-08,Films,7,Death Whisperer 3,,1
Brazil,BR,2026-02-08,Films,8,The Rip,,4
Brazil,BR,2026-02-08,Films,9,The Fall Guy,,1
Brazil,BR,2026-02-08,Films,10,Robin Hood: Prince of Thieves,,2
Brazil,BR,2026-02-01,Films,1,The Bricklayer,,1
Brazil,BR,2026-02-01,Films,2,The Enforcer,,2
Brazil,BR,2026-02-01,Films,3,In the Land of Saints and Sinners,,1
Brazil,BR,2026-02-01,Films,4,Max,,2
Brazil,BR,2026-02-01,Films,5,Trap,,1
Brazil,BR,2026-02-01,Films,6,Skin Trade,,1
Brazil,BR,2026-02-01,Films,7,The Rip,,3
Brazil,BR,2026-02-01,Films,8,Madagascar,,2
Brazil,BR,2026-02-01,Films,9,City of Dreams,,1
Brazil,BR,2026-02-01,Films,10,The Magnificent Seven,,3
Brazil,BR,2026-01-25,Films,1,The Rip,,2
Brazil,BR,2026-01-25,Films,2,The Magnificent Seven,,2
Brazil,BR,2026-01-25,Films,3,No Time to Die,,1
Brazil,BR,2026-01-25,Films,4,Abigail,,1
Brazil,BR,2026-01-25,Films,5,The Enforcer,,1
Brazil,BR,2026-01-25,Films,6,Freelance,,2
Brazil,BR,2026-01-25,Films,7,Madagascar,,1
Brazil,BR,2026-01-25,Films,8,People We Meet on Vacation,,3
Brazil,BR,2026-01-25,Films,9,Max,,1
Brazil,BR,2026-01-25,Films,10,Spectre,,1
Brazil,BR,2026-01-18,Films,1,The Rip,,1
Brazil,BR,2026-01-18,Films,2,People We Meet on Vacation,,2
Brazil,BR,2026-01-18,Films,3,Freelance,,1
Brazil,BR,2026-01-18,Films,4,How to Train Your Dragon: The Hidden World,,6
Brazil,BR,2026-01-18,Films,5,One Last Adventure: The Making of Stranger Things 5,,1
Brazil,BR,2026-01-18,Films,6,Me Before You,,3
Brazil,BR,2026-01-18,Films,7,The Magnificent Seven,,1
Brazil,BR,2026-01-18,Films,8,KPop Demon Hunters,,24
Brazil,BR,2026-01-18,Films,9,How to Train Your Dragon 2,,1
Brazil,BR,2026-01-18,Films,10,Sicario: Day of the Soldado,,2
Brazil,BR,2026-01-11,Films,1,Me Before You,,2
Brazil,BR,2026-01-11,Films,2,People We Meet on Vacation,,1
Brazil,BR,2026-01-11,Films,3,Priest,,1
Brazil,BR,2026-01-11,Films,4,Sicario: Day of the Soldado,,1
Brazil,BR,2026-01-11,Films,5,No Good Deed,,1
Brazil,BR,2026-01-11,Films,6,The Great Flood,,4
Brazil,BR,2026-01-11,Films,7,Jurassic World,,3
Brazil,BR,2026-01-11,Films,8,Legally Blonde,,1
Brazil,BR,2026-01-11,Films,9,The SpongeBob Movie: Sponge Out of Water,,2
Brazil,BR,2026-01-11,Films,10,KPop Demon Hunters,,23
Brazil,BR,2026-01-04,Films,1,The Great Flood,,3
Brazil,BR,2026-01-04,Films,2,Me Before You,,1
Brazil,BR,2026-01-04,Films,3,Against the Wild: The Journey Home,,2
Brazil,BR,2026-01-04,Films,4,The SpongeBob Movie: Sponge Out of Water,,1
Brazil,BR,2026-01-04,Films,5,Gone Baby Gone,,2
