country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Brazil,BR,2026-03-08,TV,1,Bridgerton,Bridgerton: Season 4,6
Brazil,BR,2026-03-08,TV,2,The Dinosaurs,The Dinosaurs: Season 1,1
Brazil,BR,2026-03-08,TV,3,The Mentalist,The Mentalist: Season 1,1
Brazil,BR,2026-03-08,TV,4,Teen Wolf,Teen Wolf: Season 1,1
Brazil,BR,2026-03-08,TV,5,Boyfriend on Demand,Boyfriend on Demand: Limited Series,1
Brazil,BR,2026-03-08,TV,6,Still Shining,Still Shining: Limited Series,1
Brazil,BR,2026-03-08,TV,7,The Night Agent,The Night Agent: Season 3,3
Brazil,BR,2026-03-08,TV,8,Girl From Nowhere The Reset,Girl From Nowhere The Reset: Season 1,1
Brazil,BR,2026-03-08,TV,9,Smallville,Smallville: Season 1,2
Brazil,BR,2026-03-08,TV,10,Gabby's Dollhouse,Gabby's Dollhouse: Season 13,1
Brazil,BR,2026-03-01,TV,1,Bridgerton,Bridgerton: Season 4,5
Brazil,BR,2026-03-01,TV,2,The Night Agent,The Night Agent: Season 3,2
Brazil,BR,2026-03-01,TV,3,Smallville,Smallville: Season 1,1
Brazil,BR,2026-03-01,TV,4,The Night Agent,The Night Agent: Season 1,9
Brazil,BR,2026-03-01,TV,5,BAKI-DOU: The Invincible Samurai,BAKI-DOU: The Invincible Samurai: Season 1,1
Brazil,BR,2026-03-01,TV,6,The Night Agent,The Night Agent: Season 2,4
Brazil,BR,2026-03-01,TV,7,Lottie Dottie Chicken,Lottie Dottie Chicken: 2ª temporada,126
Brazil,BR,2026-03-01,TV,8,Unfamiliar,Unfamiliar: Season 1,4
Brazil,BR,2026-03-01,TV,9,Bridgerton,Bridgerton: Season 1,13
Brazil,BR,2026-03-01,TV,10,HIS & HERS,HIS & HERS: Limited Series,8
Brazil,BR,2026-02-22,TV,1,Bridgerton,Bridgerton: Season 4,4
Brazil,BR,2026-02-22,TV,2,Unfamiliar,Unfamiliar: Season 1,3
Brazil,BR,2026-02-22,TV,3,The Night Agent,The Night Agent: Season 3,1
Brazil,BR,2026-02-22,TV,4,The Art of Sarah,The Art of Sarah: Limited Series,1
Brazil,BR,2026-02-22,TV,5,The Lincoln Lawyer,The Lincoln Lawyer: Season 4,3
Brazil,BR,2026-02-22,TV,6,The Museum of Innocence,The Museum of Innocence: Limited Series,1
Brazil,BR,2026-02-22,TV,7,Jeffrey Epstein: Filthy Rich,Jeffrey Epstein: Filthy Rich: Limited Series,2
Brazil,BR,2026-02-22,TV,8,HIS & HERS,HIS & HERS: Limited Series,7
Brazil,BR,2026-02-22,TV,9,Lottie Dottie Chicken,Lottie Dottie Chicken: 2ª temporada,125
